2023-10-27 11:24:47.211 [info] Extension host with pid 36597 started
2023-10-27 11:24:47.211 [info] Skipping acquiring lock for /home/peter/.config/Code - OSS/User/workspaceStorage/5038474344422855dbeea777fdfac3ea.
2023-10-27 11:24:47.304 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: true, activationEvent: '*', root cause: vscode.git
2023-10-27 11:24:47.311 [info] ExtensionService#_doActivateExtension LaurentTreguier.vscode-simple-icons, startup: true, activationEvent: '*'
2023-10-27 11:24:47.336 [info] ExtensionService#_doActivateExtension vscode.git, startup: true, activationEvent: '*'
2023-10-27 11:24:47.382 [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
2023-10-27 11:24:47.560 [info] Eager extensions activated
2023-10-27 11:24:47.688 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2023-10-27 11:24:47.692 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2023-10-27 11:24:47.704 [info] ExtensionService#_doActivateExtension aaron-bond.better-comments, startup: false, activationEvent: 'onStartupFinished'
2023-10-27 11:24:47.717 [info] ExtensionService#_doActivateExtension eamodio.gitlens, startup: false, activationEvent: 'onStartupFinished'
2023-10-27 11:24:47.974 [info] ExtensionService#_doActivateExtension esbenp.prettier-vscode, startup: false, activationEvent: 'onStartupFinished'
2023-10-27 11:24:48.054 [info] ExtensionService#_doActivateExtension vadimcn.vscode-lldb, startup: false, activationEvent: 'onStartupFinished'
2023-10-27 11:24:48.364 [info] ExtensionService#_doActivateExtension vscode.github-authentication, startup: false, activationEvent: 'onAuthenticationRequest:github'
2023-10-27 11:25:29.020 [info] ExtensionService#_doActivateExtension vscode.json-language-features, startup: false, activationEvent: 'onLanguage:jsonc'
2023-10-27 11:25:29.060 [info] ExtensionService#_doActivateExtension vscode.typescript-language-features, startup: false, activationEvent: 'onLanguage:jsonc'
2023-10-27 11:25:29.146 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
2023-10-27 11:25:48.145 [info] ExtensionService#_doActivateExtension vscode.debug-server-ready, startup: false, activationEvent: 'onDebugResolve'
2023-10-27 11:28:49.734 [info] ExtensionService#_doActivateExtension franneck94.c-cpp-runner, startup: false, activationEvent: 'onLanguage:c'
2023-10-27 11:28:51.469 [warning] TextEditor is closed/disposed
2023-10-27 11:28:52.160 [warning] TextEditor is closed/disposed
2023-10-27 11:28:52.987 [warning] TextEditor is closed/disposed
2023-10-27 11:28:53.654 [warning] TextEditor is closed/disposed
2023-10-27 11:28:54.324 [warning] TextEditor is closed/disposed
2023-10-27 11:28:55.115 [warning] TextEditor is closed/disposed
